APPLICATION_TYPE,AFFILIATION,CLASSIFICATION,USE_CASE,ORGANIZATION,STATUS,INCOME_AMT,SPECIAL_CONSIDERATIONS,IS_SUCCESSFUL,ASK_AMT_BINS
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C1200,Preservation,Association,1,0,N,1,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,1-9999,N,0,20k-50k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,20k-50k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,CompanySponsored,C2000,Preservation,Association,1,0,N,0,<5k
T3,Independent,C2000,Preservation,Trust,1,0,N,1,<5k
T3,Independent,Other,Preservation,Trust,1,100000-499999,N,1,100k-500k
T3,Independent,Other,Preservation,Trust,1,0,N,1,<5k
T3,Independent,Other,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C1200,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,Independent,Other,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,20k-50k
Other,Independent,C1000,ProductDev,Co-operative,1,1M-5M,N,1,>1M
T3,CompanySponsored,C2000,Preservation,Association,1,0,N,1,<5k
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,<5k
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,<5k
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,<5k
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,<5k
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,<5k
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,<5k
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,<5k
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,<5k
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,<5k
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,<5k
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,<5k
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,<5k
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,<5k
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C2000,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Co-operative,1,0,N,1,<5k
T3,Independent,C2000,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Trust,1,1M-5M,N,1,>1M
T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,0,100k-500k
T3,CompanySponsored,C2000,Preservation,Association,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Association,1,100000-499999,N,1,100k-500k
T3,Independent,Other,Preservation,Trust,1,25000-99999,N,0,10k-20k
T3,Independent,C1200,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C1200,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C2000,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C2000,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Trust,1,10000-24999,N,1,100k-500k
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,0,20k-50k
T3,Independent,C3000,Preservation,Trust,1,25000-99999,N,0,20k-50k
T7,Independent,C1000,ProductDev,Trust,1,0,N,1,<5k
T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,1,20k-50k
T3,Independent,C1000,Preservation,Trust,1,1-9999,N,1,<5k
T3,CompanySponsored,C2000,Preservation,Association,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,500k-1M
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C2000,Preservation,Trust,1,1M-5M,N,1,500k-1M
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,CompanySponsored,C1000,Preservation,Association,1,0,N,1,<5k
T3,Independent,C2000,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C2000,Preservation,Trust,1,1M-5M,N,0,>1M
T3,Independent,C2000,Preservation,Trust,1,1M-5M,N,0,500k-1M
T3,Independent,C1000,Preservation,Trust,1,1-9999,N,1,10k-20k
T3,Independent,Other,Preservation,Trust,1,100000-499999,N,1,100k-500k
T3,Independent,C1200,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,Independent,Other,Preservation,Trust,1,25000-99999,N,1,10k-20k
T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,0,<5k
T3,Independent,Other,Preservation,Trust,1,0,N,1,<5k
T3,CompanySponsored,C1000,Preservation,Co-operative,1,0,N,0,<5k
T8,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,0,50k-100k
T3,CompanySponsored,C1000,Preservation,Trust,1,25000-99999,N,0,50k-100k
T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,0,<5k
T3,Independent,C1200,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C2000,Preservation,Trust,1,1M-5M,N,1,>1M
T6,CompanySponsored,C1000,ProductDev,Trust,1,0,N,1,<5k
T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,0,100k-500k
T3,Independent,C2000,Preservation,Trust,1,1-9999,N,1,10k-20k
T7,Independent,C1000,ProductDev,Trust,1,0,N,0,<5k
T3,CompanySponsored,C2000,Preservation,Association,1,0,N,0,<5k
T3,Independent,C2000,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,100k-500k
T3,CompanySponsored,C1200,Preservation,Trust,1,1M-5M,N,0,>1M
T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,1,<5k
T3,Independent,C1000,Preservation,Trust,1,10000-24999,N,1,20k-50k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Association,1,25000-99999,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,<5k
T4,Independent,C2000,ProductDev,Association,1,0,N,0,<5k
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C2100,Preservation,Trust,1,25000-99999,N,1,5k-10k
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,50k-100k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Association,1,25000-99999,N,0,10k-20k
T3,CompanySponsored,C2000,Preservation,Trust,1,25000-99999,N,0,20k-50k
T19,Independent,C1000,ProductDev,Association,1,0,N,1,<5k
T4,Independent,C1000,ProductDev,Association,1,25000-99999,N,1,100k-500k
T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,1,100k-500k
T3,Independent,C1000,Preservation,Association,1,0,N,0,<5k
T3,CompanySponsored,C2000,Preservation,Trust,1,25000-99999,N,0,5k-10k
T3,CompanySponsored,C1000,Preservation,Trust,1,25000-99999,N,0,50k-100k
T3,CompanySponsored,C1000,CommunityServ,Trust,1,100000-499999,N,0,100k-500k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,1,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,0,100k-500k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,500k-1M
T3,CompanySponsored,C1200,CommunityServ,Trust,1,0,N,0,<5k
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,<5k
T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,<5k
T3,Independent,C1200,Preservation,Trust,1,10000-24999,N,0,50k-100k
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T4,CompanySponsored,C3000,ProductDev,Association,1,25000-99999,N,0,20k-50k
T19,CompanySponsored,C1000,ProductDev,Trust,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Association,1,0,N,0,<5k
T6,CompanySponsored,C2000,ProductDev,Trust,1,0,N,0,<5k
T19,CompanySponsored,C1000,ProductDev,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,1,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,1,<5k
T3,CompanySponsored,Other,Preservation,Association,1,1M-5M,N,1,>1M
T3,Independent,C1000,Preservation,Trust,1,0,N,0,<5k
T5,Independent,C3000,ProductDev,Co-operative,1,25000-99999,N,0,>1M
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,500k-1M
T3,Independent,C1000,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,1M-5M,N,1,>1M
T3,Independent,C1200,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,0,10k-20k
T3,Independent,C1200,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C2000,Preservation,Trust,1,10000-24999,N,1,50k-100k
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,0,20k-50k
T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,100k-500k
T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,CompanySponsored,C1000,Preservation,Association,1,0,N,1,<5k
T19,Independent,C1000,Preservation,Association,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C1200,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C1200,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C2100,Preservation,Association,1,1-9999,N,1,5k-10k
T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,0,20k-50k
T4,Independent,C3000,ProductDev,Trust,1,25000-99999,N,0,20k-50k
T3,CompanySponsored,C2000,Preservation,Association,1,0,N,0,<5k
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1200,CommunityServ,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,1,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C2000,Preservation,Trust,1,25000-99999,N,1,<5k
T3,Independent,Other,Preservation,Trust,1,25000-99999,N,1,5k-10k
T3,Independent,C1200,Preservation,Association,1,25000-99999,N,1,50k-100k
T3,Independent,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,1-9999,N,1,20k-50k
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,20k-50k
T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,1,<5k
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,5k-10k
T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,1,100k-500k
T3,CompanySponsored,C2000,Preservation,Association,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Co-operative,1,25000-99999,N,1,500k-1M
T3,CompanySponsored,C1000,Preservation,Association,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,1M-5M,N,1,>1M
T3,Independent,C1000,Preservation,Trust,1,0,N,0,<5k
T3,Independent,Other,Preservation,Trust,1,1-9999,N,1,<5k
T3,Independent,C1200,Preservation,Trust,1,0,N,1,<5k
T3,CompanySponsored,C1000,Preservation,Association,1,0,N,0,<5k
T6,Independent,C2000,ProductDev,Trust,1,100000-499999,N,0,5k-10k
T8,Independent,C1000,ProductDev,Trust,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,10k-20k
T3,CompanySponsored,C1000,Preservation,Association,1,1-9999,N,1,100k-500k
T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,1,100k-500k
Other,CompanySponsored,C1000,Preservation,Association,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,Independent,Other,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,100k-500k
T6,Independent,C2000,ProductDev,Trust,1,0,N,1,<5k
T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,1,50k-100k
T3,Independent,C2100,Preservation,Trust,1,0,N,1,<5k
T3,Independent,Other,Preservation,Trust,1,25000-99999,N,1,>1M
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,50k-100k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C2000,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,1-9999,N,0,500k-1M
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,<5k
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,<5k
T4,Independent,C1000,ProductDev,Trust,1,100000-499999,N,1,50k-100k
T7,Independent,C1000,ProductDev,Association,1,0,N,1,<5k
T3,CompanySponsored,Other,Preservation,Association,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C2000,Preservation,Association,1,0,N,0,<5k
T3,Independent,Other,Preservation,Trust,1,25000-99999,N,1,20k-50k
T3,CompanySponsored,C2000,Preservation,Association,1,0,N,1,<5k
T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,0,50k-100k
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,0,20k-50k
T6,Independent,C3000,ProductDev,Association,1,0,N,1,<5k
T4,Independent,C1000,ProductDev,Trust,1,0,N,1,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T4,Independent,C3000,CommunityServ,Trust,1,1M-5M,N,1,100k-500k
T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,0,50k-100k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,0,100k-500k
T19,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,0,>1M
T19,CompanySponsored,C1000,ProductDev,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T19,CompanySponsored,C1000,ProductDev,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,50k-100k
T4,Independent,C1000,ProductDev,Trust,1,100000-499999,N,1,100k-500k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C2100,Preservation,Trust,1,0,N,1,<5k
T3,Independent,Other,Preservation,Trust,1,0,N,1,<5k
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,1,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1200,ProductDev,Trust,1,0,N,1,<5k
T7,CompanySponsored,C1000,ProductDev,Association,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Association,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,5k-10k
T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,1,<5k
T3,Independent,C1200,Preservation,Trust,1,1-9999,N,1,<5k
T3,Independent,C2100,Preservation,Trust,1,1M-5M,N,0,500k-1M
T3,Independent,C2100,Preservation,Trust,1,25000-99999,N,1,<5k
T3,Independent,C1000,Preservation,Association,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Co-operative,1,0,N,1,<5k
T6,Independent,C2000,ProductDev,Association,1,0,N,1,<5k
T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,0,100k-500k
T3,Independent,C2000,Preservation,Trust,1,0,N,1,<5k
T3,CompanySponsored,C1000,Preservation,Association,1,0,N,1,<5k
T6,Independent,C2000,ProductDev,Association,1,0,N,1,<5k
T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,0,10k-20k
T3,CompanySponsored,C2100,Preservation,Trust,1,25000-99999,N,0,5k-10k
T3,Independent,C2100,Preservation,Trust,1,1-9999,N,1,10k-20k
T3,CompanySponsored,C2000,Preservation,Association,1,0,N,0,<5k
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,0,<5k
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
Other,Independent,C1000,ProductDev,Co-operative,1,1M-5M,N,0,>1M
T3,Independent,C1000,Preservation,Co-operative,1,0,N,1,<5k
Other,Independent,C1000,ProductDev,Co-operative,1,10M-50M,N,1,>1M
Other,Independent,C1000,ProductDev,Trust,1,50M+,N,1,>1M
T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,0,100k-500k
T6,Independent,C2000,ProductDev,Trust,1,1M-5M,N,1,>1M
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,0,10k-20k
T3,CompanySponsored,C2000,Preservation,Association,1,0,N,0,<5k
T3,Independent,C2000,Preservation,Trust,1,0,N,1,<5k
T5,Independent,C3000,ProductDev,Trust,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,Independent,Other,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,100k-500k
T4,Independent,C1000,ProductDev,Trust,1,100000-499999,N,0,10k-20k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Trust,1,1M-5M,N,1,100k-500k
T3,Independent,Other,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,0,20k-50k
T3,Independent,C1200,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C3000,Preservation,Trust,1,100000-499999,N,1,100k-500k
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,0,100k-500k
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,0,50k-100k
T3,Independent,Other,Preservation,Trust,1,100000-499999,N,1,100k-500k
T3,CompanySponsored,C1000,ProductDev,Association,1,25000-99999,N,1,20k-50k
T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,1,<5k
T3,Independent,Other,Preservation,Trust,1,0,N,1,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,0,100k-500k
T3,CompanySponsored,C2000,Preservation,Association,1,0,N,1,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,0,100k-500k
T6,CompanySponsored,C2000,ProductDev,Trust,1,0,N,1,<5k
T3,Independent,C2100,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C2000,Preservation,Association,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,0,5k-10k
T6,Independent,C1000,ProductDev,Trust,1,100000-499999,N,1,100k-500k
T3,Independent,C2000,Preservation,Trust,1,0,N,1,<5k
T19,Independent,C1000,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1200,CommunityServ,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,1,100k-500k
T3,CompanySponsored,C1000,Preservation,Trust,1,25000-99999,N,1,20k-50k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T4,CompanySponsored,C3000,Preservation,Association,1,0,N,1,<5k
T6,Independent,C2000,ProductDev,Trust,1,0,N,1,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,>1M
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,25000-99999,N,0,5k-10k
T3,CompanySponsored,C2000,Preservation,Trust,1,100000-499999,N,0,20k-50k
T6,Independent,C1000,ProductDev,Trust,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,0,20k-50k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C1200,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T7,Independent,C1000,ProductDev,Trust,1,0,N,1,<5k
T3,CompanySponsored,C2000,Preservation,Association,1,0,N,0,<5k
T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,1,<5k
T3,Independent,C2100,Preservation,Trust,1,100000-499999,N,0,20k-50k
T6,CompanySponsored,C1000,ProductDev,Association,1,0,N,1,<5k
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,<5k
T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,0,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,1,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
T3,Independent,C1200,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C1000,Preservation,Trust,1,0,N,1,<5k
T3,Independent,C1200,Preservation,Trust,1,0,N,1,<5k
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,<5k
